2024-12-09 15:35:02 - root - INFO: - iter:[64/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.290135 loss_bce: 0.601288 loss_rst: 0.367979 loss_flow: 0.005929 loss_warp: 0.599445
2024-12-09 15:35:06 - root - INFO: - iter:[65/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.147288 loss_bce: 0.378482 loss_rst: 0.305870 loss_flow: 0.004653 loss_warp: 0.605127
2024-12-09 15:35:09 - root - INFO: - iter:[66/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.067319 loss_bce: 0.329979 loss_rst: 0.243190 loss_flow: 0.003869 loss_warp: 0.560728
2024-12-09 15:35:12 - root - INFO: - iter:[67/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.119779 loss_bce: 0.396077 loss_rst: 0.242378 loss_flow: 0.004990 loss_warp: 0.599185
2024-12-09 15:35:15 - root - INFO: - iter:[68/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.081927 loss_bce: 0.329433 loss_rst: 0.255524 loss_flow: 0.005015 loss_warp: 0.579414
2024-12-09 15:35:18 - root - INFO: - iter:[69/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.129896 loss_bce: 0.422457 loss_rst: 0.290394 loss_flow: 0.003992 loss_warp: 0.548511
2024-12-09 15:35:21 - root - INFO: - iter:[70/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.139114 loss_bce: 0.337077 loss_rst: 0.296410 loss_flow: 0.003931 loss_warp: 0.647481
2024-12-09 15:35:24 - root - INFO: - iter:[71/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.083791 loss_bce: 0.322985 loss_rst: 0.272402 loss_flow: 0.003640 loss_warp: 0.578255
2024-12-09 15:35:28 - root - INFO: - iter:[72/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.104398 loss_bce: 0.341383 loss_rst: 0.292993 loss_flow: 0.002990 loss_warp: 0.581916
2024-12-09 15:35:31 - root - INFO: - iter:[73/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.101228 loss_bce: 0.266129 loss_rst: 0.273095 loss_flow: 0.004036 loss_warp: 0.671163
2024-12-09 15:35:34 - root - INFO: - iter:[74/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.104136 loss_bce: 0.428789 loss_rst: 0.296650 loss_flow: 0.003966 loss_warp: 0.492177
2024-12-09 15:35:37 - root - INFO: - iter:[75/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.057655 loss_bce: 0.361457 loss_rst: 0.227422 loss_flow: 0.003032 loss_warp: 0.539554
2024-12-09 15:35:40 - root - INFO: - iter:[76/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.134083 loss_bce: 0.255908 loss_rst: 0.280226 loss_flow: 0.005062 loss_warp: 0.742080
2024-12-09 15:35:43 - root - INFO: - iter:[77/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.154248 loss_bce: 0.367076 loss_rst: 0.287051 loss_flow: 0.004039 loss_warp: 0.666197
2024-12-09 15:35:47 - root - INFO: - iter:[78/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.223860 loss_bce: 0.451601 loss_rst: 0.352128 loss_flow: 0.005586 loss_warp: 0.653387
2024-12-09 15:35:50 - root - INFO: - iter:[79/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.132723 loss_bce: 0.311545 loss_rst: 0.269409 loss_flow: 0.005727 loss_warp: 0.698075
2024-12-09 15:35:53 - root - INFO: - iter:[80/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.021737 loss_bce: 0.338751 loss_rst: 0.224864 loss_flow: 0.003094 loss_warp: 0.501207
2024-12-09 15:35:56 - root - INFO: - iter:[81/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.167535 loss_bce: 0.423753 loss_rst: 0.269191 loss_flow: 0.005399 loss_warp: 0.657634
2024-12-09 15:35:59 - root - INFO: - iter:[82/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.236388 loss_bce: 0.393271 loss_rst: 0.302999 loss_flow: 0.005540 loss_warp: 0.790838
2024-12-09 15:36:03 - root - INFO: - iter:[83/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.169461 loss_bce: 0.455921 loss_rst: 0.316084 loss_flow: 0.003339 loss_warp: 0.587160
2024-12-09 15:36:06 - root - INFO: - iter:[84/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.140077 loss_bce: 0.257120 loss_rst: 0.318767 loss_flow: 0.005999 loss_warp: 0.724177
2024-12-09 15:36:09 - root - INFO: - iter:[85/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 5.994650 loss_bce: 0.327492 loss_rst: 0.188073 loss_flow: 0.003946 loss_warp: 0.502296
2024-12-09 15:36:12 - root - INFO: - iter:[86/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.094089 loss_bce: 0.318018 loss_rst: 0.266068 loss_flow: 0.003151 loss_warp: 0.631265
2024-12-09 15:36:15 - root - INFO: - iter:[87/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.029284 loss_bce: 0.218950 loss_rst: 0.257638 loss_flow: 0.004691 loss_warp: 0.611354
2024-12-09 15:36:18 - root - INFO: - iter:[88/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.039302 loss_bce: 0.267367 loss_rst: 0.257988 loss_flow: 0.003309 loss_warp: 0.585065
2024-12-09 15:36:21 - root - INFO: - iter:[89/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.035213 loss_bce: 0.297894 loss_rst: 0.237211 loss_flow: 0.003888 loss_warp: 0.568136
2024-12-09 15:36:24 - root - INFO: - iter:[90/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.014564 loss_bce: 0.349658 loss_rst: 0.218869 loss_flow: 0.004646 loss_warp: 0.494883
2024-12-09 15:36:28 - root - INFO: - iter:[91/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.145747 loss_bce: 0.457058 loss_rst: 0.292845 loss_flow: 0.003454 loss_warp: 0.573485
2024-12-09 15:36:31 - root - INFO: - iter:[92/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.134880 loss_bce: 0.474504 loss_rst: 0.283837 loss_flow: 0.003857 loss_warp: 0.544710
2024-12-09 15:36:35 - root - INFO: - iter:[93/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.100710 loss_bce: 0.330665 loss_rst: 0.274830 loss_flow: 0.003621 loss_warp: 0.632097
2024-12-09 15:36:38 - root - INFO: - iter:[94/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.110974 loss_bce: 0.425072 loss_rst: 0.306024 loss_flow: 0.002993 loss_warp: 0.528687
2024-12-09 15:36:41 - root - INFO: - iter:[95/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.096435 loss_bce: 0.351240 loss_rst: 0.289278 loss_flow: 0.004353 loss_warp: 0.590744
2024-12-09 15:36:45 - root - INFO: - iter:[96/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.064610 loss_bce: 0.418972 loss_rst: 0.256920 loss_flow: 0.003620 loss_warp: 0.495163
2024-12-09 15:36:48 - root - INFO: - iter:[97/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 5.985418 loss_bce: 0.292706 loss_rst: 0.217346 loss_flow: 0.002619 loss_warp: 0.508199
2024-12-09 15:36:51 - root - INFO: - iter:[98/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 5.970640 loss_bce: 0.300834 loss_rst: 0.225876 loss_flow: 0.002834 loss_warp: 0.463828
2024-12-09 15:36:54 - root - INFO: - iter:[99/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.072917 loss_bce: 0.381197 loss_rst: 0.294243 loss_flow: 0.003618 loss_warp: 0.516066
2024-12-09 15:36:58 - root - INFO: - iter:[100/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.060199 loss_bce: 0.340563 loss_rst: 0.305093 loss_flow: 0.003292 loss_warp: 0.522658
2024-12-09 15:37:01 - root - INFO: - iter:[101/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 5.929516 loss_bce: 0.295286 loss_rst: 0.222539 loss_flow: 0.002828 loss_warp: 0.396559
2024-12-09 15:37:04 - root - INFO: - iter:[102/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.015016 loss_bce: 0.311232 loss_rst: 0.290069 loss_flow: 0.003087 loss_warp: 0.481597
2024-12-09 15:37:07 - root - INFO: - iter:[103/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.013021 loss_bce: 0.263085 loss_rst: 0.288358 loss_flow: 0.002904 loss_warp: 0.529119
2024-12-09 15:37:10 - root - INFO: - iter:[104/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 5.960311 loss_bce: 0.287362 loss_rst: 0.233346 loss_flow: 0.002158 loss_warp: 0.458937
2024-12-09 15:37:13 - root - INFO: - iter:[105/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 6.079383 loss_bce: 0.393507 loss_rst: 0.265684 loss_flow: 0.004221 loss_warp: 0.552714
