2025-01-04 17:14:52 - root - INFO: - iter:[80/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.492734 loss_bce: 0.211333 loss_rst: 0.268021 loss_flow: 0.013379
2025-01-04 17:14:53 - root - INFO: - iter:[81/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.632509 loss_bce: 0.218321 loss_rst: 0.399749 loss_flow: 0.014438
2025-01-04 17:14:54 - root - INFO: - iter:[82/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.675121 loss_bce: 0.334897 loss_rst: 0.322304 loss_flow: 0.017920
2025-01-04 17:14:55 - root - INFO: - iter:[83/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.524405 loss_bce: 0.250000 loss_rst: 0.259428 loss_flow: 0.014976
2025-01-04 17:14:56 - root - INFO: - iter:[84/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.700679 loss_bce: 0.296940 loss_rst: 0.378478 loss_flow: 0.025261
2025-01-04 17:14:58 - root - INFO: - iter:[85/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.805919 loss_bce: 0.396497 loss_rst: 0.395655 loss_flow: 0.013767
2025-01-04 17:14:59 - root - INFO: - iter:[86/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.729123 loss_bce: 0.285707 loss_rst: 0.428914 loss_flow: 0.014501
2025-01-04 17:15:00 - root - INFO: - iter:[87/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.512633 loss_bce: 0.234123 loss_rst: 0.265356 loss_flow: 0.013154
2025-01-04 17:15:01 - root - INFO: - iter:[88/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.833409 loss_bce: 0.424302 loss_rst: 0.391342 loss_flow: 0.017765
2025-01-04 17:15:02 - root - INFO: - iter:[89/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.686125 loss_bce: 0.309298 loss_rst: 0.357704 loss_flow: 0.019123
2025-01-04 17:15:03 - root - INFO: - iter:[90/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.671817 loss_bce: 0.323247 loss_rst: 0.332430 loss_flow: 0.016139
2025-01-04 17:15:05 - root - INFO: - iter:[91/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.756142 loss_bce: 0.381823 loss_rst: 0.357462 loss_flow: 0.016857
2025-01-04 17:15:06 - root - INFO: - iter:[92/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.746965 loss_bce: 0.348427 loss_rst: 0.384039 loss_flow: 0.014500
2025-01-04 17:15:07 - root - INFO: - iter:[93/411000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.717254 loss_bce: 0.350164 loss_rst: 0.354848 loss_flow: 0.012242
