2024-12-07 16:48:05 - root - INFO: - iter:[53/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.882969 loss_bce: 0.280201 loss_rst: 0.595604 loss_flow: 0.006098 loss_conf: 0.001067
2024-12-07 16:48:09 - root - INFO: - iter:[54/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.878782 loss_bce: 0.310174 loss_rst: 0.561490 loss_flow: 0.005815 loss_conf: 0.001303
2024-12-07 16:48:11 - root - INFO: - iter:[55/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.875120 loss_bce: 0.276816 loss_rst: 0.579562 loss_flow: 0.017605 loss_conf: 0.001138
2024-12-07 16:48:15 - root - INFO: - iter:[56/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.050364 loss_bce: 0.471181 loss_rst: 0.563060 loss_flow: 0.015142 loss_conf: 0.000980
2024-12-07 16:48:17 - root - INFO: - iter:[57/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.810293 loss_bce: 0.239819 loss_rst: 0.562668 loss_flow: 0.006766 loss_conf: 0.001041
2024-12-07 16:48:21 - root - INFO: - iter:[58/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.099787 loss_bce: 0.515130 loss_rst: 0.577740 loss_flow: 0.005730 loss_conf: 0.001187
2024-12-07 16:48:24 - root - INFO: - iter:[59/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.941379 loss_bce: 0.348891 loss_rst: 0.567540 loss_flow: 0.023149 loss_conf: 0.001800
2024-12-07 16:48:27 - root - INFO: - iter:[60/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.893065 loss_bce: 0.291920 loss_rst: 0.577094 loss_flow: 0.022574 loss_conf: 0.001477
2024-12-07 16:48:30 - root - INFO: - iter:[61/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.886215 loss_bce: 0.350578 loss_rst: 0.530361 loss_flow: 0.004262 loss_conf: 0.001014
2024-12-07 16:48:33 - root - INFO: - iter:[62/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.838576 loss_bce: 0.305893 loss_rst: 0.523803 loss_flow: 0.008121 loss_conf: 0.000758
2024-12-07 16:48:36 - root - INFO: - iter:[63/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.866802 loss_bce: 0.286714 loss_rst: 0.559277 loss_flow: 0.020040 loss_conf: 0.000771
2024-12-07 16:48:39 - root - INFO: - iter:[64/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 1.176104 loss_bce: 0.624509 loss_rst: 0.539228 loss_flow: 0.011864 loss_conf: 0.000502
2024-12-07 16:48:42 - root - INFO: - iter:[65/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.884299 loss_bce: 0.357964 loss_rst: 0.518358 loss_flow: 0.006471 loss_conf: 0.001505
2024-12-07 16:48:46 - root - INFO: - iter:[66/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.827160 loss_bce: 0.377979 loss_rst: 0.437007 loss_flow: 0.007820 loss_conf: 0.004354
2024-12-07 16:48:49 - root - INFO: - iter:[67/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.855791 loss_bce: 0.378506 loss_rst: 0.470067 loss_flow: 0.003918 loss_conf: 0.003299
2024-12-07 16:48:52 - root - INFO: - iter:[68/100000], lr: 0.00010000, weight_decay: 0.500000,loss: 0.793327 loss_bce: 0.322363 loss_rst: 0.463751 loss_flow: 0.005035 loss_conf: 0.002178
